cowcode,iso3166,country_ID,country_name,abbr_country,year,n_instdepth,n_policyautonomy,n_fiscalautonomy,n_borrowautonomy,n_representation,n_lawmaking,n_execcontrol,n_fiscalcontrol,n_borrowcontrol,n_constitutional,n_selfrule,n_sharedrule,n_RAI,COMPONENTS,n_representation,n_assembly,n_executive,n_lawmaking,n_L1lawmaking,n_L2lawmaking,n_L3lawmaking,n_L4lawmaking,n_L5lawmaking,n_L6lawmaking
900,36,2,Australia,AUS,1956,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1957,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1958,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1959,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1960,2.95,3.89,1.95,0.97,3.91,1.49,1.95,0.97,1.95,2.92,13.68,9.28,22.95,,3.91,1.97,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1961,2.95,3.89,1.95,0.97,3.91,1.49,1.95,0.97,1.95,2.92,13.68,9.28,22.95,,3.91,1.97,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1962,2.95,3.89,1.95,0.97,3.91,1.49,1.95,0.97,1.95,2.92,13.68,9.28,22.95,,3.91,1.97,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1963,2.95,3.89,1.95,0.97,3.91,1.49,1.95,0.97,1.95,2.92,13.68,9.28,22.95,,3.91,1.97,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1964,2.95,3.89,1.95,0.97,3.91,1.49,1.95,0.97,1.95,2.92,13.68,9.28,22.95,,3.91,1.97,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1965,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1966,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1967,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1968,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1969,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1970,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1971,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1972,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1973,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1974,2.95,3.89,1.95,0.97,3.93,1.49,1.95,0.97,1.95,2.92,13.70,9.28,22.97,,3.93,1.97,1.97,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1975,2.95,3.89,1.95,0.97,3.93,1.50,1.95,0.97,1.95,2.95,13.70,9.31,23.01,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1976,2.95,3.89,1.95,0.97,3.93,1.50,1.95,0.97,1.95,2.95,13.70,9.31,23.01,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1977,2.95,3.89,1.95,0.97,3.93,1.50,1.95,0.97,1.95,2.95,13.70,9.31,23.01,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1978,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1979,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1980,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1981,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1982,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1983,2.96,3.92,1.97,0.98,3.93,1.50,1.97,0.98,1.96,3.00,13.76,9.41,23.17,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1984,2.96,3.92,1.97,2.95,3.93,1.50,1.97,0.98,0.00,3.00,15.73,7.45,23.18,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1985,2.96,3.92,1.97,2.95,3.93,1.50,1.97,0.98,0.00,3.00,15.73,7.45,23.18,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1986,2.96,3.92,1.97,2.95,3.93,1.50,1.97,0.98,0.00,3.00,15.73,7.45,23.18,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1987,2.96,3.92,1.97,2.95,3.93,1.50,1.97,0.98,0.00,3.00,15.73,7.45,23.18,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1988,2.96,3.92,1.97,2.95,3.93,1.50,1.97,0.98,0.00,3.00,15.73,7.45,23.18,,3.93,1.97,1.97,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1989,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1990,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1991,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1992,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1993,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1994,2.97,3.97,2.00,3.00,4.00,1.50,2.00,1.00,0.00,3.00,15.95,7.50,23.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1995,2.97,3.97,2.00,2.00,4.00,1.50,2.00,1.00,2.00,3.00,14.95,9.50,24.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1996,2.97,3.97,2.00,2.00,4.00,1.50,2.00,1.00,2.00,3.00,14.95,9.50,24.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1997,2.97,3.97,2.00,2.00,4.00,1.50,2.00,1.00,2.00,3.00,14.95,9.50,24.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1998,2.97,3.97,2.00,2.00,4.00,1.50,2.00,1.00,2.00,3.00,14.95,9.50,24.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,1999,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2000,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2001,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2002,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2003,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2004,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2005,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2006,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2007,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2008,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2009,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2010,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2011,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2012,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2013,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2014,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2015,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2016,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2017,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
900,36,2,Australia,AUS,2018,2.97,3.97,2.00,2.00,4.00,1.50,2.00,2.00,2.00,3.00,14.95,10.50,25.45,,4.00,2.00,2.00,1.50,0.50,0.00,0.50,0.50,0.00,0.00
305,40,3,Austria,AUT,1955,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1956,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1957,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1958,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1959,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1960,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1961,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1962,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1963,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1964,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1965,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1966,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1967,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1968,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1969,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1970,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1971,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1972,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1973,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1974,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1975,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1976,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1977,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1978,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1979,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1980,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
305,40,3,Austria,AUT,1981,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,15.00,6.00,21.00,,4.00,2.00,2.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00
